Symbol,BreakOut,Interval,EndTime,OpenTime,Open,High,Low,Close,Volume,CloseTime,QuoteAssetVolume,NumberOfTrades,TakerBaseAssetVolume,TakerBuyQuoteAssetVolume
BTCUSDT,False,1d,11/6/2019 2:22:00 PM,1571875200000,7468.47000000,7503.68000000,7337.99000000,7412.41000000,32714.38326500,1571961599999,243246414.94892389,403778,16705.37635500,124225722.47547963
BTCUSDT,False,1d,11/6/2019 2:22:00 PM,1571961600000,7412.41000000,8799.00000000,7361.00000000,8655.02000000,90748.21817400,1572047999999,737329544.88351963,775418,49588.97661200,402740312.18785392
BTCUSDT,False,1d,11/6/2019 2:22:00 PM,1572048000000,8655.88000000,10370.00000000,8470.38000000,9230.00000000,162588.58541300,1572134399999,1522244166.41084847,1185369,81590.33653100,764040095.62121791
BTCUSDT,False,1d,11/6/2019 2:22:00 PM,1572134400000,9230.00000000,9794.98000000,9074.34000000,9529.93000000,93833.54160400,1572220799999,887438297.74626678,799978,47320.55467000,447629005.39656268
BTCUSDT,False,1d,11/6/2019 2:22:00 PM,1572220800000,9528.23000000,9902.10000000,9160.00000000,9205.14000000,80174.21732300,1572307199999,759178942.94884192,681128,39754.68150100,376584590.21858095
BTCUSDT,False,1d,11/6/2019 2:22:00 PM,1572307200000,9204.45000000,9550.00000000,9072.00000000,9407.62000000,64158.46244600,1572393599999,600611324.63569959,559589,32787.04917400,307062268.41991786
BTCUSDT,False,1d,11/6/2019 2:22:00 PM,1572393600000,9407.62000000,9409.84000000,9001.01000000,9154.72000000,55241.78643400,1572479999999,506584830.03133233,524035,27416.56174800,251452283.20530460
BTCUSDT,False,1d,11/6/2019 2:22:00 PM,1572480000000,9154.02000000,9405.00000000,8913.00000000,9140.85000000,54376.02490200,1572566399999,498152743.73480882,490183,27252.20353600,249802680.66380806
BTCUSDT,False,1d,11/6/2019 2:22:00 PM,1572566400000,9140.86000000,9279.00000000,9030.00000000,9231.61000000,43594.81411500,1572652799999,398803069.00908462,478002,22843.60504200,209045155.88095699
BTCUSDT,False,1d,11/6/2019 2:22:00 PM,1572652800000,9231.40000000,9373.74000000,9186.21000000,9289.52000000,28923.06082800,1572739199999,268119579.73009112,325421,15316.18786300,141991067.15333212
BTCUSDT,False,1d,11/6/2019 2:22:00 PM,1572739200000,9289.85000000,9362.57000000,9066.14000000,9194.71000000,27894.37827900,1572825599999,256664259.66219141,326024,13611.80655800,125328511.00426772
BTCUSDT,False,1d,11/6/2019 2:22:00 PM,1572825600000,9196.46000000,9513.68000000,9115.84000000,9393.35000000,45894.45627700,1572911999999,426792003.17490647,453749,24741.81592500,230142613.20752436
BTCUSDT,False,1d,11/6/2019 2:22:00 PM,1572912000000,9392.40000000,9454.95000000,9175.76000000,9308.66000000,45935.87366500,1572998399999,428156963.07854693,492885,22809.23955800,212668961.37619617
BTCUSDT,False,1d,11/6/2019 2:22:00 PM,1572998400000,9307.73000000,9440.91000000,9250.01000000,9339.05000000,37336.17037200,1573084799999,348607499.83121694,402997,18947.02412700,176929534.86037745
New Pattern
BTCUSDT,True,1d,5/24/2019 2:22:00 PM,1556755200000,5383.20000000,5538.00000000,5370.00000000,5492.87000000,22795.78783500,1556841599999,124498567.20765440,181896,11908.89589200,65029410.50078300
BTCUSDT,True,1d,5/24/2019 2:22:00 PM,1556841600000,5494.81000000,5844.00000000,5477.57000000,5772.69000000,46297.17284900,1556927999999,264435878.92811019,338298,24992.74319000,142732584.07587240
BTCUSDT,True,1d,5/24/2019 2:22:00 PM,1556928000000,5770.62000000,5900.00000000,5587.45000000,5829.45000000,39682.40899100,1557014399999,228942582.45077919,283145,21037.29947700,121524183.92743250
BTCUSDT,True,1d,5/24/2019 2:22:00 PM,1557014400000,5829.83000000,5839.90000000,5696.00000000,5775.62000000,23822.54377500,1557100799999,137653160.76602159,185365,11824.08792100,68357177.93240788
BTCUSDT,True,1d,5/24/2019 2:22:00 PM,1557100800000,5773.18000000,5805.00000000,5619.14000000,5747.79000000,25256.59632500,1557187199999,144358553.85462249,230431,12922.62549000,73880906.50332905
BTCUSDT,True,1d,5/24/2019 2:22:00 PM,1557187200000,5749.92000000,6028.41000000,5747.74000000,5846.34000000,39905.06442200,1557273599999,236176663.81792103,301388,21302.98121700,126064101.91225619
BTCUSDT,True,1d,5/24/2019 2:22:00 PM,1557273600000,5846.34000000,6014.72000000,5772.20000000,5987.29000000,23074.05152000,1557359999999,136245255.55720780,190966,11960.90403200,70659279.91367500
BTCUSDT,True,1d,5/24/2019 2:22:00 PM,1557360000000,5986.66000000,6224.55000000,5983.71000000,6209.18000000,27453.01143600,1557446399999,167489934.34358988,227841,13875.18235600,84696142.54932348
BTCUSDT,True,1d,5/24/2019 2:22:00 PM,1557446400000,6209.95000000,6468.92000000,6172.00000000,6373.33000000,36623.61079000,1557532799999,231801342.43209280,283074,18548.92799500,117379030.42732471
BTCUSDT,True,1d,5/24/2019 2:22:00 PM,1557532800000,6375.16000000,7343.99000000,6372.85000000,7076.22000000,74022.42439300,1557619199999,507216001.34340413,562540,40091.99721500,274656200.80251044
BTCUSDT,True,1d,5/24/2019 2:22:00 PM,1557619200000,7076.24000000,7521.78000000,6750.00000000,6967.31000000,86948.97533900,1557705599999,619939454.48965513,647345,42689.58967600,304720922.90832519
BTCUSDT,True,1d,5/24/2019 2:22:00 PM,1557705600000,6968.24000000,8100.00000000,6870.00000000,7790.71000000,85804.73533300,1557791999999,648012612.29270131,588497,45381.26225900,342327287.01661900
BTCUSDT,True,1d,5/24/2019 2:22:00 PM,1557792000000,7795.62000000,8366.00000000,7599.56000000,7947.56000000,76583.72260300,1557878399999,611103206.00327249,655426,38953.03233500,310810946.93725249
BTCUSDT,True,1d,5/24/2019 2:22:00 PM,1557878400000,7945.26000000,8249.00000000,7850.00000000,8169.87000000,37884.32721100,1557964799999,305196285.27558238,347533,19660.57618600,158426245.70097857
BTCUSDT,True,1d,5/24/2019 2:22:00 PM,1557964800000,8169.08000000,8320.00000000,7705.00000000,7866.59000000,69630.51399600,1558051199999,557126171.27896418,666538,35097.40415800,280897013.06816628
BTCUSDT,True,1d,5/24/2019 2:22:00 PM,1558051200000,7868.67000000,7925.00000000,6913.00000000,7355.26000000,88752.00815900,1558137599999,645676487.37440289,803893,45121.47497800,328348049.16308968
BTCUSDT,True,1d,5/24/2019 2:22:00 PM,1558137600000,7355.28000000,7458.00000000,7156.61000000,7257.45000000,37054.94477900,1558223999999,271170511.05093318,379504,19375.84836000,141830045.16939757
BTCUSDT,True,1d,5/24/2019 2:22:00 PM,1558224000000,7257.32000000,8275.09000000,7243.08000000,8148.48000000,65577.44205800,1558310399999,517729474.35844101,583432,35593.49002200,281177713.21845129
BTCUSDT,True,1d,5/24/2019 2:22:00 PM,1558310400000,8147.94000000,8156.03000000,7553.00000000,7938.15000000,65859.20856400,1558396799999,517939277.86885798,610360,34629.64564500,272371020.30677796
BTCUSDT,True,1d,5/24/2019 2:22:00 PM,1558396800000,7937.16000000,8042.32000000,7771.00000000,7904.87000000,52301.75224700,1558483199999,413637782.36974554,554038,27272.36044800,215730616.60421489
BTCUSDT,True,1d,5/24/2019 2:22:00 PM,1558483200000,7904.48000000,8016.00000000,7465.00000000,7628.43000000,49136.99458900,1558569599999,384730220.72195171,461337,24410.96266200,191296198.55463496
BTCUSDT,True,1d,5/24/2019 2:22:00 PM,1558569600000,7627.80000000,7940.98000000,7461.00000000,7851.51000000,49648.18470100,1558655999999,381536239.51284835,449220,25959.85983800,199607980.98608009
BTCUSDT,True,1d,5/24/2019 2:22:00 PM,1558656000000,7849.95000000,8130.00000000,7766.00000000,7964.87000000,46664.78532500,1558742399999,371381043.73160255,428676,25045.73342800,199347829.02587370
New Pattern
LENDBTC,True,1d,11/8/2019 2:22:00 PM,1571616000000,0.00000098,0.00000110,0.00000095,0.00000107,63109540.00000000,1571702399999,63.77408932,5584,31001838.00000000,31.50929896
LENDBTC,True,1d,11/8/2019 2:22:00 PM,1571702400000,0.00000108,0.00000121,0.00000105,0.00000111,74959825.00000000,1571788799999,85.38387693,6657,36803128.00000000,42.11715112
LENDBTC,True,1d,11/8/2019 2:22:00 PM,1571788800000,0.00000111,0.00000114,0.00000099,0.00000108,39723472.00000000,1571875199999,41.93004998,4124,16373869.00000000,17.39976278
LENDBTC,True,1d,11/8/2019 2:22:00 PM,1571875200000,0.00000108,0.00000121,0.00000107,0.00000120,37538887.00000000,1571961599999,42.70135627,3869,21418097.00000000,24.47344755
LENDBTC,True,1d,11/8/2019 2:22:00 PM,1571961600000,0.00000120,0.00000154,0.00000116,0.00000146,144507413.00000000,1572047999999,194.53904093,13713,67188855.00000000,90.84884698
LENDBTC,True,1d,11/8/2019 2:22:00 PM,1572048000000,0.00000145,0.00000187,0.00000129,0.00000170,239193735.00000000,1572134399999,400.34889261,28088,117064973.00000000,197.03964869
LENDBTC,True,1d,11/8/2019 2:22:00 PM,1572134400000,0.00000169,0.00000170,0.00000123,0.00000135,137893854.00000000,1572220799999,199.81635239,12984,55923081.00000000,81.29582311
LENDBTC,True,1d,11/8/2019 2:22:00 PM,1572220800000,0.00000134,0.00000148,0.00000122,0.00000134,71015369.00000000,1572307199999,95.55320058,7017,33147094.00000000,44.54477760
LENDBTC,True,1d,11/8/2019 2:22:00 PM,1572307200000,0.00000133,0.00000168,0.00000129,0.00000161,90149039.00000000,1572393599999,134.19685179,9087,47528216.00000000,71.25531561
LENDBTC,True,1d,11/8/2019 2:22:00 PM,1572393600000,0.00000160,0.00000162,0.00000141,0.00000144,85685693.00000000,1572479999999,129.50573409,7419,47162374.00000000,71.87193101
LENDBTC,True,1d,11/8/2019 2:22:00 PM,1572480000000,0.00000145,0.00000148,0.00000126,0.00000131,57795443.00000000,1572566399999,79.38771411,5500,26426589.00000000,36.66906235
